ID,BILL_SEPT,BILL_AUG,BILL_JULY,BILL_JUNE,BILL_MAY,BILL_APRIL,PAY_SEPT,PAY_AUG,PAY_JULY,PAY_JUNE,PAY_MAY,PAY_APRIL,AGE,SEX,EDUCATION,MARRIAGE,DEFAULT
67,2097,4193,3978,4062,4196,4326,2300,0,150,200,200,160,56,Male,University,Married,Yes
68,300,300,1159,2280,300,4250,300,1159,2280,300,4250,909,30,Female,Graduate School,Single,NO
69,-190,-9850,-9850,10311,10161,7319,0,0,20161,0,7319,13899,29,Female,High School,Single,NO
70,18565,17204,17285,18085,11205,5982,0,1200,1000,500,1000,0,22,Male,Others,Single,NO
71,780,0,390,390,390,390,0,390,390,390,390,390,31,Male,Graduate School,Single,NO
72,58267,59246,60184,58622,62307,63526,2500,2500,0,4800,2400,1600,29,Male,University,Single,Yes
73,9076,5787,-684,5247,3848,3151,5818,15,9102,17,3165,1395,32,Female,University,Married,NO
74,0,0,3155,0,2359,0,0,3155,0,2359,0,0,37,Female,Graduate School,Single,NO
75,3048,5550,23337,4291,80153,25820,5713,23453,4314,80552,25949,2016,32,Male,Graduate School,Single,NO
76,14619,17216,16642,16976,17332,18543,2850,0,610,630,1500,0,24,Male,University,Single,NO
77,42838,37225,36087,9636,9590,10030,1759,1779,320,500,1000,1000,25,Male,High School,Single,NO
78,291,291,291,291,291,291,291,291,291,291,291,291,45,Female,Graduate School,Married,NO
79,28387,29612,30326,28004,26446,6411,1686,1400,560,3000,1765,0,22,Female,University,Single,Yes
80,0,0,0,0,0,0,0,0,0,0,0,0,44,Female,University,Single,Yes
81,165254,157784,162702,69923,29271,29889,6400,7566,3000,960,1000,3000,33,Female,High School,Others,NO
82,23411,27796,30400,33100,180000,196,4796,3400,3100,146900,196,2963,26,Female,Graduate School,Single,NO
83,26324,27471,28108,21993,19899,19771,1576,1213,648,768,1140,0,30,Male,High School,Single,Yes
84,131595,139060,126819,104430,104990,94058,10700,3,3050,3000,3200,2800,44,Female,University,Married,NO
85,48909,47863,21489,20414,19342,19482,1676,1302,700,699,849,826,49,Female,High School,Single,NO
86,130028,107808,71934,118418,118407,120418,4400,3547,80000,4500,4800,4500,33,Male,University,Single,NO
87,390,1170,780,390,390,390,1170,0,0,390,390,390,45,Female,Graduate School,Married,Yes
88,3826,4751,6604,8604,7072,766,1147,2000,2000,0,766,2303,32,Female,University,Single,NO
89,81313,117866,17740,1330,7095,1190,40000,5000,1330,7095,1190,2090,35,Female,Graduate School,Married,NO
90,8583,8303,9651,10488,12314,11970,0,1651,1000,2000,0,1500,44,Male,High School,Single,NO
91,138180,140774,142460,144098,147124,149531,6300,5500,5500,5500,5000,5000,53,Male,Graduate School,Married,Yes
92,7524,0,3968,3868,0,0,0,3968,0,0,0,0,39,Female,Graduate School,Single,NO
93,-2000,5555,0,0,0,0,7555,0,0,0,0,0,27,Female,Graduate School,Single,NO
94,880,1602,840,840,0,0,1602,840,840,0,0,7736,37,Female,University,Married,NO
95,45648,46850,47214,19595,19209,19323,1937,1301,682,690,816,835,23,Female,University,Single,NO
96,83725,85996,87653,35565,30942,30835,3621,3597,1179,1112,1104,1143,35,Male,University,Single,NO
97,3967,8322,3394,6451,26370,9956,8339,3394,12902,27000,0,68978,43,Male,Graduate School,Married,NO
98,86009,86108,89006,89775,87725,40788,4031,10006,3266,4040,1698,800,27,Male,Graduate School,Single,NO
99,18722,18160,16997,13150,8866,7899,1411,1194,379,281,321,197,22,Female,High School,Married,NO
100,17973,19367,19559,18240,17928,150,1699,1460,626,1750,150,0,38,Male,University,Married,Yes
101,672,10212,850,415,100,1430,10212,850,415,100,1430,0,32,Male,Graduate School,Single,NO
102,-81,-303,32475,32891,33564,34056,223,33178,1171,1197,1250,5000,30,Female,Graduate School,Single,NO
103,422069,431342,479432,487066,471145,469961,16078,55693,17000,0,18000,24200,63,Male,Graduate School,Married,NO
104,44698,42254,38347,32496,23477,24094,1767,1362,1002,840,995,904,22,Female,High School,Single,Yes
105,56685,55208,59175,60218,55447,55305,0,5000,2511,6,3000,3000,26,Female,University,Single,NO
106,5580,0,0,0,0,26529,0,0,0,0,26529,2000,24,Female,University,Single,NO
107,6108,2861,3277,3319,1150,1150,2861,3279,3319,1150,1150,1035,36,Female,University,Married,NO
108,713,2272,722,867,1150,5263,2272,722,867,1150,5263,5011,52,Male,Graduate School,Single,NO
109,171438,178382,39940,120483,44127,126568,10908,0,133657,4566,133841,4796,38,Male,University,Single,NO
110,-103,-103,-103,-103,-103,-103,0,0,0,0,0,0,35,Male,University,Married,NO
111,105879,108431,105594,105896,106491,107289,9260,0,3593,4100,15794,0,31,Female,Graduate School,Married,NO
112,13244,14722,15181,15928,16671,17393,2000,1000,1000,1000,1000,1000,47,Male,High School,Married,NO
113,135673,138532,134813,144401,152174,149415,6500,0,14254,14850,0,5000,41,Male,University,Married,NO
114,52128,52692,54477,56076,60100,59713,2000,2677,3076,5080,3000,2033,24,Female,Graduate School,Single,NO
115,19015,19294,20259,20274,20311,19957,1340,1305,700,718,724,684,41,Male,University,Single,NO
116,18199,17618,18631,21319,20692,21201,0,1312,3000,0,1000,1000,24,Male,Graduate School,Single,Yes
117,326,326,326,5676,476,326,326,326,5676,476,326,526,28,Male,Graduate School,Single,NO
118,14029,15493,16630,17055,17629,18186,2000,1700,1000,1000,1000,1000,26,Male,University,Single,Yes
119,19660,9666,11867,7839,14837,7959,9677,11867,7839,14837,7959,5712,34,Male,University,Married,NO
120,50254,51445,53015,52479,1307,1203,2000,3000,3000,1307,1203,563,38,Female,University,Single,NO
121,46004,45976,48953,48851,49318,51143,1000,4035,1000,1400,2800,0,37,Male,High School,Single,Yes
122,0,0,0,0,0,0,0,0,0,0,0,0,40,Male,Graduate School,Married,Yes
123,0,0,0,0,0,0,0,0,0,0,0,0,48,Female,Graduate School,Married,NO
124,304991,311243,306314,258610,246491,198889,13019,11128,8407,8599,6833,5987,35,Female,University,Married,Yes
125,19115,18962,19298,19378,19717,15630,1404,1130,600,861,313,0,27,Male,Graduate School,Single,NO
126,0,0,0,0,0,0,0,0,0,0,0,0,23,Male,University,Single,NO
127,110151,99530,98951,100914,103146,104993,3568,3585,3602,3848,3669,3784,52,Male,High School,Single,NO
128,163736,116422,99278,95766,97753,95927,4655,2690,2067,2142,2217,1000,36,Male,Graduate School,Married,Yes
129,3347,3899,4503,5347,6375,7077,1000,1066,1300,1500,1200,134,51,Male,University,Married,Yes
130,60521,61450,57244,28853,29510,26547,2504,7,1200,1200,1100,1500,55,Male,High School,Married,NO
131,4000,5645,3508,-27,13744,5906,5645,3508,27,13771,5911,3024,23,Female,Graduate School,Single,NO
132,95,2622,3301,3164,360,1737,2622,3301,0,360,1737,924,41,Male,Graduate School,Single,NO
133,253454,247743,229049,220951,210606,188108,9744,9553,7603,7830,7253,11326,34,Male,University,Married,NO
134,227389,228719,229644,227587,227775,228203,8210,8095,8025,8175,8391,8200,46,Male,High School,Married,NO
135,28452,26145,26712,25350,17603,-780,2000,1400,0,500,0,1560,22,Female,University,Single,NO
136,10674,12035,13681,13269,14158,13891,1500,1800,0,1000,0,327,34,Male,University,Married,NO
137,17444,19342,22000,24614,27200,30229,2500,3000,3000,3000,3500,5000,27,Male,Graduate School,Single,NO
138,7166,7997,8792,9189,4404,5708,1500,1500,1000,500,2000,546,33,Female,University,Married,NO
139,752,300,5880,0,0,0,300,5880,0,0,0,0,51,Female,High School,Married,Yes
140,50801,50143,49586,19430,19375,18995,2360,1700,1000,900,870,2130,24,Male,Graduate School,Single,NO
141,0,0,0,0,0,0,0,0,0,0,0,0,47,Male,Graduate School,Single,Yes
142,1832,0,832,332,416,416,0,416,332,500,3500,832,28,Male,University,Single,NO
143,10131,10833,20583,19996,19879,18065,1000,10000,400,700,800,600,23,Male,University,Single,NO
144,12159,10000,10000,10000,9983,15846,10000,10000,10000,9983,15863,10000,29,Male,University,Single,NO
145,1199,15586,344,2340,6702,339,15586,344,2340,4702,339,330,29,Male,Graduate School,Single,NO
146,4999,5913,7315,9195,10624,10138,1000,1500,2000,1583,1100,0,28,Male,Graduate School,Single,NO
147,19269,20313,20852,17560,17918,9100,1661,1200,351,358,182,0,27,Female,University,Single,Yes
148,197236,176192,93069,135668,132233,59875,8000,5000,55500,5000,5000,8500,34,Male,Graduate School,Single,NO
149,9168,10522,10205,9898,10123,12034,1650,0,0,379,2091,1,23,Female,University,Married,NO
150,-1100,-1100,21400,0,969,869,0,22500,0,969,1000,0,60,Female,Graduate School,Married,NO
151,86627,78142,68336,64648,58319,55251,3455,3110,5000,0,2100,2602,32,Male,University,Married,NO
152,42444,55744,43476,41087,41951,31826,30000,3000,6000,8000,2000,14000,25,Male,Graduate School,Single,NO
153,208,2906,1000,630,0,0,2906,1000,630,0,0,0,41,Male,Graduate School,Single,NO
154,208775,182350,132257,101783,177145,169311,8042,6700,5137,100000,7000,6321,56,Female,University,Married,NO
155,9014,10406,11427,11935,13084,14206,1700,1500,1000,1500,1500,1500,26,Female,High School,Single,NO
156,23944,28049,32073,43129,47086,48699,5000,5000,11885,5000,3000,5504,34,Male,Graduate School,Married,NO
157,105420,102870,89643,90938,92505,94031,4000,3250,3250,3500,3560,5000,37,Female,Graduate School,Single,NO
158,196031,196143,189524,167163,146975,122324,7300,7108,7680,6200,5000,4500,30,Female,High School,Single,NO
159,115785,122904,129847,137277,145533,154105,10478,10478,11078,11078,11678,10478,45,Male,High School,Married,Yes
160,12854,12362,13447,13427,13711,14083,0,1600,500,500,600,600,57,Male,High School,Married,NO
161,24357,27453,26718,28168,27579,28321,3500,0,2200,0,1200,1250,41,Male,Graduate School,Single,NO
162,390,390,780,216,1080,540,390,780,216,864,0,390,27,Male,University,Single,NO
163,1234,396,396,792,396,423,396,396,792,0,423,369,47,Male,High School,Married,NO
164,141223,156858,151841,152803,155997,160220,17994,0,5469,5656,6811,3920,34,Female,Graduate School,Married,NO
165,21148,23803,24908,26034,26655,27756,3000,1500,1500,1000,1500,1500,46,Female,University,Married,NO
166,101640,104795,104855,74737,76058,77254,5500,3900,3000,2900,3000,2800,27,Female,Graduate School,Single,NO
167,6093,15130,8204,15398,4792,13453,15383,8204,15413,4792,13453,4699,50,Male,Graduate School,Single,NO
168,102349,96847,58824,29336,22979,-246,3166,0,1330,1398,12,50000,27,Male,University,Married,NO
169,72112,73854,75526,77317,85852,88290,3500,3500,3652,10000,4000,0,35,Female,University,Married,NO
170,28040,29092,29366,27737,28318,28806,1510,1442,982,1017,1277,567,22,Female,University,Single,NO
171,37695,33397,30534,27598,26344,24641,5000,2000,3000,4000,3000,2000,37,Male,University,Single,NO
172,688,3280,0,4340,2672,800,3288,0,4340,2672,800,746,30,Female,Graduate School,Single,NO
173,8567,15273,11650,7457,3115,7725,15000,1000,149,0,5000,10000,22,Female,University,Single,NO
174,-709,-709,-709,-2898,-3272,-3272,0,0,0,0,0,0,24,Female,Graduate School,Single,Yes
175,0,0,77,0,0,0,0,77,0,0,0,0,29,Male,Graduate School,Single,NO
176,64617,65978,67282,68557,72796,71345,3000,3000,3000,5500,0,0,56,Male,High School,Married,Yes
177,6187,100,600,1438,1919,5380,504,500,1000,500,3500,0,30,Male,Graduate School,Single,NO
178,48860,47801,48363,30221,22877,22361,0,1500,1000,2000,0,2000,30,Male,University,Single,NO
179,16001,12622,13221,13130,14034,14906,1212,1201,500,1500,1500,1000,22,Female,University,Single,NO
180,77883,81811,80250,61467,10662,11486,5800,1000,600,400,1000,0,29,Female,University,Married,NO
181,12212,26578,25331,26605,26279,1256,15000,0,2000,0,1256,65935,37,Male,Graduate School,Single,NO
182,49608,12412,14873,17364,17770,17460,12500,6500,3000,2000,3000,2000,35,Female,High School,Single,NO
183,56422,110616,110340,122967,108834,70064,70010,30357,30000,20000,52183,20000,47,Female,Graduate School,Married,NO
184,58024,57891,48839,18971,19323,19395,2500,1600,3000,1000,737,2000,24,Female,University,Married,Yes
185,10642,11677,13070,12280,1615,1620,1200,1593,601,135,1824,0,25,Male,University,Single,NO
186,14483,13961,15323,16268,15868,16448,0,1600,1500,0,1000,1500,38,Female,University,Married,Yes
187,2616,57077,5287,68445,13881,16240,57087,5295,68454,13889,16250,38313,32,Female,Graduate School,Single,NO
188,199436,202947,193936,196186,200162,189915,8214,7000,6800,7134,0,6836,47,Female,High School,Single,Yes
189,0,5396,10270,13576,13864,14636,5396,5000,3500,501,1000,2000,34,Female,University,Married,NO
190,21703,21087,21461,20835,20219,20487,0,1000,0,0,760,0,31,Female,University,Single,NO
191,59901,62147,62102,65875,60387,43328,10020,6031,10057,5028,5060,4223,32,Male,Graduate School,Single,NO
192,19625,20347,21669,23005,22499,22873,1342,1664,2000,0,900,846,27,Female,Graduate School,Single,Yes
193,11386,199,0,0,17227,17042,199,0,0,17227,341,5114,29,Female,Graduate School,Single,NO
194,14670,22087,21282,10200,0,0,37867,0,200,0,0,0,24,Female,Graduate School,Single,NO
195,47790,18114,18250,-14,72,658,2000,1000,2000,500,1000,20011,36,Male,University,Married,NO
196,36166,37188,37680,38462,39228,40035,1900,1400,1700,1532,1600,0,24,Female,Graduate School,Single,Yes
197,0,0,0,116,0,1500,0,0,116,0,1500,0,34,Female,University,Married,NO
198,18553,19446,19065,8332,18868,19247,1500,1032,541,20000,693,1000,22,Female,Graduate School,Single,NO
199,412,138,2299,1251,1206,1151,138,2299,1251,1206,1151,15816,34,Female,Graduate School,Married,NO
200,29010,29256,28122,29836,1630,0,1000,85,1714,104,0,0,22,Female,High School,Single,Yes
201,750,0,0,0,0,0,0,0,0,0,0,0,38,Female,Graduate School,Married,NO
202,27123,27299,17985,20225,27407,10833,25000,0,3000,7800,0,2500,31,Male,Graduate School,Single,NO
203,13424,18000,13001,5818,13506,487,10000,13001,5841,13506,487,7004,26,Female,Graduate School,Single,NO
204,107314,110578,113736,116000,119131,122135,5000,5000,4152,5000,5000,5000,26,Male,University,Single,NO
205,226430,231878,234192,190211,173557,146511,9100,7300,5800,5600,5600,4100,48,Female,University,Married,NO
206,227,20351,20237,19339,19450,19337,22359,1305,1258,1459,3457,1700,43,Male,High School,Married,NO
207,390,1473,390,390,390,0,1473,390,390,390,0,2380,47,Male,Graduate School,Married,NO
208,3088,1586,343,3763,877,0,1586,343,3763,877,0,419,41,Female,University,Married,Yes
209,81625,81554,79599,49552,49509,49568,3200,3000,2038,2000,1800,1800,24,Female,University,Single,Yes
210,8872,4337,2854,1690,0,1709,4345,2854,1702,0,1709,258,50,Female,Graduate School,Married,NO
211,105607,108917,111520,8303,0,85632,5000,5050,8303,0,85632,0,24,Male,Graduate School,Single,NO
212,0,0,250,123,789,1222,0,250,0,789,1222,9616,38,Female,Graduate School,Married,Yes
213,38257,38901,38103,36207,33138,31339,1700,1504,1200,1500,1500,1000,43,Female,High School,Married,NO
214,28347,28108,18388,12992,7736,8032,3036,2309,0,1000,2000,148,39,Male,University,Single,NO
215,296573,303320,307843,479978,305145,309959,13000,11001,0,10484,10838,10367,27,Male,University,Single,NO
216,390,390,390,240,1320,780,390,390,240,1470,0,0,42,Male,High School,Married,NO
217,-946,-946,-946,-946,-946,-946,0,0,0,0,0,0,36,Female,University,Married,Yes
218,79278,78501,78534,80016,76235,78245,3100,3500,3400,3000,3500,3000,36,Male,University,Single,NO
219,89989,84229,79288,73315,63818,63208,4000,5000,3000,3000,3000,8954,31,Female,High School,Others,NO
220,1424,4542,126,0,0,0,4542,126,0,0,0,0,38,Female,Graduate School,Single,NO
221,105167,115468,112157,114690,117845,120238,12000,0,5900,5000,4500,4700,40,Female,Graduate School,Married,Yes
222,335196,334954,335527,333860,335760,330121,12388,12378,12116,12450,12213,11678,45,Female,High School,Single,NO
223,291619,297268,205629,215827,208464,212508,12019,9006,17000,12000,9557,15000,35,Female,University,Single,NO
224,91653,94037,108597,65913,43805,33263,10042,18832,2117,2076,5045,3754,33,Female,University,Single,NO
225,52626,51537,49205,30394,30249,29957,0,24,1500,1000,1201,30592,37,Female,High School,Single,Yes
226,130370,131199,128900,125514,127280,128839,6530,4860,22500,4820,4877,4962,28,Female,Graduate School,Single,NO
227,3265,2686,1864,569,0,0,2686,1864,569,0,0,0,44,Male,High School,Married,NO
228,16455,16511,18902,18768,18650,19175,1609,3000,663,676,834,782,37,Male,University,Married,NO
229,49758,48456,44116,21247,20066,18858,2401,2254,2004,704,707,1004,23,Male,University,Single,Yes
230,19154,18165,17233,7630,1730,0,0,1333,500,100,0,3200,24,Female,High School,Single,NO
231,35084,35796,30937,19420,10385,1308,2090,2002,1002,238,1011,389,24,Female,Graduate School,Single,NO
232,20235,17132,16856,16875,13454,10104,0,1200,1000,0,1000,10000,23,Male,University,Single,Yes
233,102800,0,0,2624,45567,46557,0,0,2624,45567,1747,2000,26,Male,University,Married,NO
234,129801,131383,134379,142323,140120,150052,5000,5000,10000,0,12118,2769,34,Male,University,Single,Yes
235,58203,36367,20934,20694,20175,19421,1506,1298,1000,721,811,599,33,Female,University,Married,NO
236,7988,3977,6848,1719,1378,19942,3983,6853,1719,1378,19942,2418,35,Male,Graduate School,Single,NO
237,127402,110050,51547,44384,36900,29497,4500,1745,1566,1208,1077,2529,27,Female,University,Single,NO
238,1440,0,7422,893,6082,2293,0,7422,893,6082,2293,3299,31,Female,Graduate School,Single,NO
239,234205,231669,214642,207642,210375,214694,10116,9150,8008,8000,8009,7714,50,Female,High School,Married,Yes
240,19346,21708,22940,19068,16409,16383,3000,2000,2198,1000,3000,2399,41,Female,University,Others,Yes
241,21501,20650,0,0,0,2285,0,0,0,0,2285,0,28,Female,Graduate School,Single,NO
242,47174,47974,48630,50803,30789,15874,1800,2000,3000,2000,2000,2000,39,Male,Graduate School,Single,NO
243,26655,27724,28676,27990,28790,29399,1800,1750,900,1200,1200,1100,27,Female,University,Single,NO
244,3139,5853,2821,0,2821,0,2821,0,0,2821,0,176,32,Female,Graduate School,Single,NO
245,142,215,139,19,19,79,355,120,0,0,60,60,40,Female,Graduate School,Single,NO
246,19816,20396,20102,19575,0,0,1601,2203,2114,0,0,0,40,Female,University,Single,NO
247,52874,1631,1536,1010,5572,794,1631,1536,1010,5572,794,1184,75,Female,University,Married,NO
248,37767,34457,30036,30337,30997,32904,1788,1799,1100,1150,2423,0,27,Female,University,Single,NO
249,46140,45781,48139,51137,39450,25358,2504,4007,5056,74,1023,2566,25,Male,Graduate School,Single,NO
250,35713,15392,16099,16418,16765,17484,1561,1268,587,611,1000,2000,46,Male,High School,Married,NO
251,50867,51486,48869,30115,29527,29998,1710,136,1206,2002,2005,3003,26,Female,University,Single,NO
252,29242,29507,29155,25255,22001,0,5006,1244,851,955,0,0,28,Male,University,Single,NO
253,101551,105246,104781,105334,107699,106828,5366,5087,3605,3894,3785,3304,26,Female,University,Single,Yes
254,70243,47779,28052,7222,99669,84426,7042,2000,1000,99669,12600,10000,28,Female,Graduate School,Single,NO
255,19532,3719,1453,4944,1896,2486,3127,1469,4968,1905,2494,862,29,Female,University,Single,NO
256,27699,28513,29341,29928,29533,28538,1565,1393,980,994,1024,886,25,Male,University,Married,NO
257,1154,1233,862,1355,1130,21361,1233,1075,1355,1130,21361,1347,48,Female,University,Married,NO
258,8015,2453,9624,52572,7333,2210,2453,9880,52572,1546,2210,0,33,Female,University,Married,NO
259,62170,0,0,0,0,0,0,0,0,0,0,0,43,Female,High School,Married,NO
260,210380,213522,201852,169115,172169,162402,10000,9020,6000,5500,6000,5500,48,Male,Graduate School,Married,Yes
261,78331,99414,107686,103776,87265,36739,40010,20094,5000,5001,25365,65000,29,Female,Graduate School,Single,NO
262,49276,35100,32563,27823,29130,28309,1602,1400,3000,3130,1062,6318,29,Male,University,Single,NO
263,4473,4664,5969,18941,16578,12652,4664,5969,18941,0,12652,1916,38,Female,Graduate School,Married,NO
264,2283,50815,0,0,299,338,51315,0,0,299,338,0,37,Female,Graduate School,Single,NO
265,10115,249,5986,188,1644,16872,258,5995,188,1644,16872,4000,37,Female,Graduate School,Single,NO
266,6156,0,0,316,316,316,0,0,316,316,316,316,25,Female,University,Married,NO
267,6974,7838,9002,9182,9729,9411,1134,1298,478,847,0,175,23,Male,High School,Single,NO
268,89003,91362,72197,49654,28065,27500,4100,3095,1630,561,600,0,49,Female,High School,Single,Yes
269,34871,34449,33634,34586,34762,35673,1600,1600,1500,1500,1500,1500,48,Female,Graduate School,Single,NO
270,13694,14880,14242,13968,14319,2614,1700,0,426,501,2614,1390,27,Male,University,Single,Yes
271,70003,31545,20974,19713,19848,18126,2035,2004,616,2007,1009,2015,32,Male,High School,Single,NO
272,1082,632,1350,900,450,0,0,1350,0,0,0,450,34,Male,Graduate School,Married,NO
273,0,0,0,0,0,0,0,0,0,0,0,0,58,Female,Graduate School,Single,Yes
274,11253,12852,14024,14512,16325,11905,2000,1322,2000,2000,1200,3000,33,Female,University,Single,NO
275,0,0,0,0,0,0,0,0,0,0,0,0,28,Female,University,Single,Yes
